start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
11,12,2,29.716666666666665,0.01,51.8,10.0,0,0,0,0,0,0,0,2
13,8,5,30.0,0.0,82.0,10.0,0,0,0,0,0,0,0,2
14,11,4,44.63333333333333,0.01,81.0,10.0,0,0,0,0,0,0,0,2
12,11,3,34.31666666666667,0.01,88.0,10.0,0,0,0,0,0,0,0,3
19,4,1,45.0,0.0,53.1,10.0,0,0,0,0,0,0,0,2
8,6,2,41.61666666666667,0.0,73.9,8.0,0,0,0,0,0,0,0,2
16,4,4,75.0,0.01,75.9,10.0,0,0,0,1,0,0,0,2
21,9,5,30.0,0.0,71.6,10.0,0,0,0,0,0,0,0,2
16,1,1,44.8,0.01,51.1,10.0,0,0,1,0,0,0,1,2
9,5,0,30.0,0.01,57.0,10.0,0,0,0,0,0,0,0,3
22,11,3,44.71666666666667,0.01,66.2,10.0,0,0,0,0,0,0,0,3
15,1,1,29.833333333333332,0.01,50.0,1.8,0,0,0,0,0,0,0,2
19,8,1,45.0,0.0,73.9,10.0,0,0,0,0,0,0,0,3
22,11,1,44.28333333333333,0.01,53.6,10.0,0,0,0,1,0,0,0,2
9,9,4,44.5,0.0,66.0,10.0,0,0,0,1,0,0,0,2
12,1,0,38.05,0.01,63.0,10.0,0,0,0,0,0,0,0,3
21,1,1,29.283333333333335,0.01,53.1,9.0,0,0,0,0,0,0,0,2
16,8,4,45.0,0.0,82.4,10.0,0,0,0,1,0,0,0,3
10,10,3,29.683333333333334,0.01,75.9,10.0,0,0,0,0,0,0,0,3
14,9,5,44.65,0.0,91.4,10.0,0,0,0,0,0,0,0,3
18,4,2,30.0,0.01,61.0,10.0,0,0,0,0,0,0,0,3
16,6,1,45.0,0.0,84.0,10.0,0,0,0,0,0,0,1,2
14,8,0,60.15,0.0,89.6,10.0,0,0,0,0,0,0,0,2
10,11,6,44.46666666666667,0.01,63.0,10.0,0,0,0,0,0,0,0,3
10,9,4,45.0,0.0,73.0,10.0,0,0,0,0,0,0,0,2
18,5,0,30.0,0.01,77.0,10.0,0,0,0,1,0,0,0,2
